ExplainedVariance,Entropy,Time,LossBefore,Perplexity,StdReturn,MaxTimeInAir,LossAfter,PctReceivedReward,AverageTimeInAir,MeanKL,dLoss,AverageDiscountedReturn,ItrTime,PctPicked,Iteration,AverageReturn,AveragePolicyStd,MaxReturn,NumTrajs,MeanKLBefore,MinReturn
2.238858037617586e-05,9.93257,10.175158500671387,1.3755760619460489e-07,20590.2,0.036614332827242455,0.07,-0.04757455363869667,1.08,0.00036345776031434184,0.013165468350052834,0.047574691196302865,0.0031523541589995228,10.175161838531494,0.0,0,0.0031523541589995228,1.0,0.6896181291927713,1018,0.0,0.0
-0.0026464045117264856,9.921998,19.12665820121765,5.3863167259748934e-09,20373.656,0.028759208977690555,0.07,-0.0412188358604908,1.37,0.00032321253672869737,0.01935313083231449,0.041218841246807525,0.0027954945621777114,8.94849443435669,0.0,1,0.0027954945621777114,0.99849904,0.6021388421429708,1021,0.0,0.0
0.0037583117835223723,9.923126,27.810845613479614,1.9990979982509316e-09,20396.656,0.03604385318274156,0.09,-0.08858641982078552,1.18,0.0003729146221786065,0.0197706650942564,0.08858642181988352,0.0032087197862032493,8.680857181549072,0.0,2,0.0032087197862032493,0.9986789,0.77481647776492,1019,0.0,0.0
0.006623773397788968,9.933816,36.63908338546753,-5.114952461582334e-09,20615.86,0.043857580131738925,0.08,-0.04648697003722191,1.76,0.0005381604696673189,0.01974460668861866,0.04648696492226945,0.004900622638217719,8.824961423873901,0.0,3,0.004900622638217719,1.000221,0.6881067838800299,1022,0.0,0.0
-0.021588453597097157,9.913522,45.84816527366638,-4.716643964286504e-09,20201.695,0.025236915578253125,0.06,-0.042782727628946304,0.98,0.00018664047151277014,0.018611829727888107,0.04278272291230234,0.0017116846444073406,9.204901933670044,0.0,4,0.0017116846444073406,0.99734586,0.612540730117998,1018,0.0,0.0
0.003925955524177072,9.900915,54.84978127479553,-3.027299966262831e-09,19948.617,0.0478250484373116,0.09,-0.06439653784036636,1.27,0.00042115572967678746,0.01292299386113882,0.0643965348130664,0.004034915141786538,8.998533725738525,0.0,5,0.004034915141786538,0.9955681,1.0840732074062245,1021,0.0,0.0
0.006429625760275615,9.8802805,63.92532300949097,8.084684921527696e-09,19541.203,0.05281692139450318,0.08,-0.04101322963833809,1.76,0.0006158357771260997,0.019713783636689186,0.04101323772302301,0.005761675310818108,9.072601079940796,0.0,6,0.005761675310818108,0.9927213,0.9851153709889712,1023,0.0,0.0
0.004255239733761629,9.878524,73.25635933876038,1.5067099790044836e-09,19506.906,0.03520992489049707,0.06,-0.05561323091387749,1.66,0.0004305283757338552,0.0193125419318676,0.055613232420587466,0.0037737090623634656,9.327586650848389,0.0,7,0.0037737090623634656,0.9924852,0.5359277902195746,1022,0.0,0.0
-0.006917286142620105,9.886139,82.54319381713867,4.742644055255596e-09,19656.02,0.02287959980276496,0.06,-0.08574852347373962,0.88,0.00018682399213372665,0.01994529366493225,0.08574852821638368,0.0016573365276065445,9.283494234085083,0.0,8,0.0016573365276065445,0.9935647,0.5983120185770425,1017,0.0,0.0
0.0030832847166866184,9.867333,91.81738066673279,-3.3399967236391603e-09,19289.832,0.06257940011381496,0.16,-0.10556171834468842,1.28,0.0004612365063788027,0.01949317567050457,0.10556171500469169,0.00438216473959201,9.271179914474487,0.0,9,0.00438216473959201,0.99091405,1.714400183716946,1019,0.0,0.0
-0.02854867748410994,9.870138,100.83454036712646,-4.4893879724838825e-09,19344.012,0.03542189504023706,0.07,-0.05055321380496025,1.08,0.0003336604514229637,0.013049955479800701,0.05055320931557228,0.002998413007878447,9.014156579971313,0.0,10,0.002998413007878447,0.99135363,0.6531445874943795,1019,0.0,0.0
0.007639255404570888,9.877879,110.14222049713135,-7.759326514644727e-09,19494.334,0.032411286039782924,0.08,-0.07466254383325577,1.57,0.0003620352250489237,0.01985073834657669,0.07466253607392925,0.0031584146399386984,9.304244995117188,0.0,11,0.0031584146399386984,0.99241,0.7404627744123976,1022,0.0,0.0
0.005525823299335153,9.897846,119.31120324134827,-4.3411394479164755e-09,19887.49,0.06316825737715771,0.15,-0.08005398511886597,2.24,0.0007212475633528265,0.01919984631240368,0.08005398077772652,0.006516207723649804,9.164886474609375,0.0,12,0.006516207723649804,0.9952224,1.485359889288687,1026,0.0,0.0
-0.0029374920971401153,9.908843,128.28410172462463,-5.644312239816429e-10,20107.396,0.046867874737448655,0.11,-0.10633824020624161,1.76,0.000546875,0.019267849624156952,0.10633823964181038,0.004788690823320102,8.969537734985352,0.0,13,0.004788690823320102,0.9967833,0.9082043613957167,1024,0.0,0.0
-0.003670775415117067,9.9299555,137.41667437553406,2.262035891931191e-09,20536.426,0.028314651382485994,0.06,-0.07481182366609573,1.47,0.0003131115459882583,0.019755015149712563,0.07481182592813163,0.0027628707965549988,9.128584623336792,0.0,14,0.0027628707965549988,0.99979967,0.5560291624453783,1022,0.0,0.0
0.003711261003431443,9.942657,146.6516330242157,7.880947450189524e-09,20798.943,0.05365030147089424,0.14,-0.11861465871334076,1.66,0.000498533724340176,0.019663557410240173,0.11861466659428821,0.0045002210925535815,9.231584310531616,0.0,15,0.0045002210925535815,1.0015975,1.3685826239813228,1023,0.0,0.0
0.00723760954969066,9.932785,155.82588362693787,1.7667096230411516e-08,20594.617,0.05510653593420324,0.1,-0.03633212670683861,2.15,0.0006926829268292684,0.012852243147790432,0.03633214437393484,0.006259489213381313,9.170919179916382,0.0,16,0.006259489213381313,1.0001799,0.9391758415643289,1025,0.0,0.0
0.00460275058616566,9.928567,165.01668524742126,5.17855536230627e-10,20507.93,0.041701092472738344,0.07,-0.0995667576789856,1.57,0.0004990215264187867,0.019358079880475998,0.09956675819684113,0.004526121149063841,9.187997579574585,0.0,17,0.004526121149063841,0.9995775,0.6758044838227404,1022,0.0,0.0
